M_s,A_ex,K_u,alpha,angle_theta,angle_phi,Transmission,Phase Shift (deg)
113178.23208588175,4e-12,0,0.014554817949405573,46.69796012142039,11.991351128662604,0.014498489767676957,-171.7927345934865
30597.802046199715,4e-12,0,0.011709306026537523,35.45036396979948,17.705067226603347,0.03317075065869566,-122.07623543968768
32578.556935156194,4e-12,0,0.017794803796508794,74.26981127906775,19.278963266577247,0.06874877645966666,-139.35444901913368
37126.32096663769,4e-12,0,0.019612293543991383,45.031774655729194,26.344935569558164,0.038707813596416625,-129.09646201071328
76805.59302103183,4e-12,0,0.017064046444600557,40.964053504814885,6.66523049062731,0.02798307953072309,-149.9363415981295
97013.32157352885,4e-12,0,0.017927729335959895,78.00525037907704,69.4660319639988,0.3999754366177955,130.01180978667355
80508.42460474643,4e-12,0,0.010875995064829776,58.77460306630418,30.916409752795563,0.049634518144161234,-166.54451303068765
109258.4087774477,4e-12,0,0.011308552715834202,61.064210398410665,49.4412230911435,0.10878690441611179,-178.95926962266068
111406.98335085888,4e-12,0,0.013791126844297858,85.61028290192016,71.66964377951119,0.9072497322471331,61.45165488547817
48950.081784753784,4e-12,0,0.018315974073614637,27.999929485309,70.1252745002295,0.04210383122977217,-114.83874728995463
90823.08483293075,4e-12,0,0.01377020717157788,66.56286857455129,66.63008532877816,0.18924173520971738,-178.5892745648344
70242.7510697688,4e-12,0,0.012432403058772714,78.69029338077789,14.222560706012668,0.11270450850769373,166.38972006727357
91062.64477907064,4e-12,0,0.013930607385267496,39.21294381769452,41.647189131204925,0.0406317953001867,-139.87211034073744
98545.01560467892,4e-12,0,0.011790701020094293,11.914228444954162,32.514560834017985,0.024283912045697485,-109.6559405629631
28828.16805361466,4e-12,0,0.019203189310796166,53.51218018052648,35.55102700769541,0.0441886245892824,-127.04577788575143
42386.7151156076,4e-12,0,0.011210092610529245,58.36425665674276,22.104465802837787,0.0497701021403593,-142.07040586544832
30821.868602544757,4e-12,0,0.014817879118686508,44.607958568264415,37.50926502446795,0.04000215382700861,-123.88194642147977
81823.91740605397,4e-12,0,0.014329726918813668,79.46705254244448,34.61199146511387,0.15999743401099176,154.22177287294127
54518.99024490331,4e-12,0,0.01083500135408826,38.4476112044734,77.10600290959755,0.053886646026670405,-121.00496144376542
102925.55484864171,4e-12,0,0.011609194369817158,26.0619445300863,20.78293686062694,0.02347567246880217,-129.13406056018982
80047.53902920618,4e-12,0,0.013555939189228051,28.287856449415315,86.79468185959459,0.05327933522842071,-113.96427725066687
57036.12904804975,4e-12,0,0.014785979631350803,13.001852220686958,34.11094561369554,0.02753688146700819,-110.85445421441277
73250.59851835444,4e-12,0,0.010717794978083913,31.621805139667558,62.14120126340002,0.046196972272983965,-122.29133147139552
38949.61239955523,4e-12,0,0.015140939481496727,16.62729774153977,9.794335285997267,0.02708924272846064,-114.29954540755999
31309.307726717878,4e-12,0,0.010662082714548092,51.17310620076977,28.896212991203395,0.042259303331510394,-128.5933528197952
78824.69301657921,4e-12,0,0.016325201873493865,45.46950557318844,56.75381659290385,0.0598212561909605,-139.12183085884143
45938.60101106751,4e-12,0,0.010955349947945326,53.373307708105735,19.947636771224477,0.04405780512613401,-141.75205656827117
99425.72272477587,4e-12,0,0.01175350634598438,65.27180866210476,34.51883822128607,0.07109118734704559,175.22700829183773
79441.93452359995,4e-12,0,0.01656856128614355,44.02351353893026,61.50808562137937,0.062085938331502034,-136.31910247805877
27527.164257951677,4e-12,0,0.019593893381014665,7.161332822389835,62.220221889578404,0.031821062353465324,-106.53831544775059
